comparison,metric,p_value_wilcoxon,mean,median,ci_lower,ci_upper,num_replicates,num_scenarios,num_pairs
identity_merger_off_vs_reference,velocity_rmse_update_mps,0.0009706637616169882,0.1398724354142718,0.05671203240488035,-1.6299695278007182,2.18631932468866,10000,13,247
identity_merger_off_vs_reference,velocity_rmse_coasting_mps,0.7589214977872931,-4.808428083820956e+18,0.06551808528668043,-1.6792510385039038e+19,71.81976962652108,10000,13,227
identity_merger_off_vs_reference,velocity_rmse_overall_mps,0.001118610924734603,-3.173211444061648e+18,0.10215174963504306,-1.5072754359270994e+19,46.43919203908915,10000,13,247
identity_merger_off_vs_reference,id_switches,8.484327984908568e-40,577.8884615384616,244.5,207.4346153846154,1056.0692307692307,10000,13,260
identity_merger_off_vs_reference,identity_switches_epoch_level,1.4356140802291623e-38,223.38846153846154,78.5,67.64615384615385,420.29999999999995,10000,13,260
identity_merger_off_vs_reference,fragmentation_events_total,,0.0,0.0,0.0,0.0,10000,13,260
identity_merger_off_vs_reference,excess_global_tracks_total,2.2030072856038407e-38,1.9307692307692308,2.0,1.3807692307692307,2.603846153846154,10000,13,260
identity_merger_off_vs_reference,recovery_identity_recovery_latency_mean,7.105427357601002e-14,0.03631254893487625,0.02088972431077675,0.018646604428867033,0.04048938014368613,10000,7,50
identity_merger_off_vs_reference,association_accuracy,0.00040925096111979264,0.035507506341378774,0.0,-0.00979487020913817,0.10809056880849144,10000,13,247
identity_merger_off_vs_reference,track_availability_any_active_mean,3.6300230008148665e-15,0.08853752381430348,0.0,0.033751446140586415,0.1668944018075472,10000,13,247
identity_merger_off_vs_reference,track_availability_confirmed_mean,7.43838282425294e-11,0.11532605645598225,0.008802143130501316,0.024349831265371522,0.21995088434329307,10000,13,247
identity_merger_off_vs_reference,mean_nees_6d,0.7697505013873995,-4970.035947274741,24.424093162347617,-13469.4860458421,674.251946540762,10000,13,247
identity_merger_off_vs_reference,mean_nis,4.0744229262070035e-10,-4.949194932763269,-0.7276856601528636,-12.27456767910942,-0.23918123356498316,10000,13,248
