scenario,seed,association_mode,config_hash,run_status,geometry_scale_factor_s,derived_range_min_m,derived_range_max_m,derived_nominal_altitude_m,calibration_domain_violation,num_real_targets,num_global_tracks_created,association_accuracy,num_identity_switch_events,has_identity_switch,epoch_level_identity_switches_total,has_epoch_level_identity_switch,same_timestamp_disagreement_occurred,fragmentation_events_total,excess_global_tracks_total,position_rmse_update_m,position_rmse_coasting_m,position_rmse_overall_m,velocity_rmse_update_mps,velocity_rmse_coasting_mps,velocity_rmse_overall_mps,num_samples_update,num_samples_coasting,track_availability_any_active_mean,track_availability_confirmed_mean,mean_nees_6d,mean_nis,num_nis_samples,drop_rate
multi_uav_crossing,3004,position_only,dc2328da,completed,0.45392755843912175,47.39142842945838,95.00000000000001,45.39275584391218,False,3,3,0.8132471728594507,1,True,1,True,False,0,0,0.0928046115259638,13.718470966116483,13.009964151203553,0.563397287295236,2.9836223679887586,2.835161095134853,863,7713,0.8195569962182604,0.44462452728255,71389.56863930027,7.662374627389492,860,0.10523272622145129
multi_uav_crossing,3004,full_state,3e628eda,completed,0.45392755843912175,47.39142842945838,95.00000000000001,45.39275584391218,False,3,3,1.0,0,False,0,False,False,0,0,0.07215407360179706,0.07517470266970656,0.07477772763799626,0.15333436587942012,0.1611918722623177,0.1601631734894879,1374,8898,1.0,0.7077255537547272,18.942896070670695,5.743196170613804,1371,0.10523272622145129
multi_uav_crossing,3005,position_only,dc2328da,completed,0.45392755843912175,47.39142842945838,95.00000000000001,45.39275584391218,False,3,3,0.8326105810928014,1,True,1,True,False,0,0,0.08557883060135585,13.756221117016683,12.904958126270484,0.5747100303266081,3.0086444338183354,2.8294650561186,1028,7543,0.8345570239843368,0.4767498776309349,64108.489304810166,7.747758593346998,1025,0.0
multi_uav_crossing,3005,full_state,3e628eda,completed,0.45392755843912175,47.39142842945838,95.00000000000001,45.39275584391218,False,3,3,1.0,0,False,0,False,False,0,0,0.07031503906887336,0.0705134924654095,0.07048357194908637,0.1443121412554555,0.14432912976607307,0.14432656549713987,1551,8724,1.0,0.7209985315712188,4.704912827006553,5.924336496890392,1548,0.0
multi_uav_crossing,3006,position_only,dc2328da,completed,0.45392755843912175,47.39142842945838,95.00000000000001,45.39275584391218,False,3,3,1.0,0,False,0,False,False,0,0,0.07501062922108091,0.07475199733527317,0.07478974498078562,0.1431872386027861,0.14325952340927253,0.1432489911826172,1497,8775,1.0,0.6939655172413793,4.934095245361123,5.780957495624478,1494,0.0
multi_uav_crossing,3006,full_state,3e628eda,completed,0.45392755843912175,47.39142842945838,95.00000000000001,45.39275584391218,False,3,3,1.0,0,False,0,False,False,0,0,0.07503165667932987,0.07474929113603966,0.074790480789919,0.1432232759456865,0.14326662613491162,0.1432603134888754,1496,8776,1.0,0.6934865900383143,4.9354428652214235,5.787277973086799,1493,0.0
multi_uav_crossing,3007,position_only,dc2328da,completed,0.45392755843912175,47.39142842945838,95.00000000000001,45.39275584391218,False,3,3,0.8326105810928014,1,True,1,True,False,0,0,0.07686395461119351,13.593627759943656,12.736039730759506,0.5818091553753703,3.006230205676027,2.8239019100374874,1047,7521,0.8323586744639376,0.49122807017543857,65660.83815915989,7.159070664467078,1044,0.0
multi_uav_crossing,3007,full_state,3e628eda,completed,0.45392755843912175,47.39142842945838,95.00000000000001,45.39275584391218,False,3,3,1.0,0,False,0,False,False,0,0,0.06268105495474777,0.0642256104813213,0.06399523021065416,0.14265198003158178,0.14486281894630426,0.14453180767170318,1548,8724,1.0,0.7266081871345028,4.190556297735361,5.8804495538458275,1545,0.0
multi_uav_crossing,3008,position_only,dc2328da,completed,0.45392755843912175,47.39142842945838,95.00000000000001,45.39275584391218,False,3,3,0.8328996819890142,1,True,1,True,False,0,0,0.06345777123975498,13.655929726122546,12.82578571920444,0.45127397588984364,2.9715542091214875,2.795207101941843,1011,7565,0.8409961685823756,0.4602490421455938,68613.81364590801,6.3470573102598955,1008,0.0
multi_uav_crossing,3008,full_state,3e628eda,completed,0.45392755843912175,47.39142842945838,95.00000000000001,45.39275584391218,False,3,3,1.0,0,False,0,False,False,0,0,0.06160610105088466,0.061792193180537275,0.06176490869432217,0.14081924501705437,0.14189188425218313,0.14173492184865824,1508,8764,1.0,0.6810344827586207,4.377212544098381,5.793168125917936,1505,0.0
